city_slug,neighborhood_slug,area,total_ads,amenity_ads
rasht,golsaar,rasht / golsaar,1127,22.0
rasht,charrah-golsaar,rasht / charrah-golsaar,193,17.0
rasht,gilan-blvd,rasht / gilan-blvd,1091,16.0
rasht,pir-kola-chay,rasht / pir-kola-chay,398,11.0
rasht,toushiba,rasht / toushiba,694,10.0
rasht,esmaeil-abad,rasht / esmaeil-abad,438,10.0
rasht,ansari,rasht / ansari,374,8.0
rasht,pol-taleshan,rasht / pol-taleshan,1017,7.0
rasht,manzariyeh,rasht / manzariyeh,402,7.0
rasht,rasht-emam-hossein,rasht / rasht-emam-hossein,365,6.0
rasht,gholipour,rasht / gholipour,405,4.0
rasht,eynak,rasht / eynak,381,3.0
rasht,golbagh-namaz,rasht / golbagh-namaz,139,3.0
rasht,hamidiyan,rasht / hamidiyan,589,3.0
rasht,rasht-azadegan,rasht / rasht-azadegan,112,3.0
