created_jalali_year_month,created_jalali_label,count,mean_effective_rent,median_effective_rent,mean_raw_rent,median_raw_rent,mean_credit,median_credit
1401-03,خرداد 1401,3,58033333.333333336,45000000.0,35033333.333333336,30000000.0,766666666.6666666,500000000.0
1401-04,تیر 1401,1,57000000.0,57000000.0,45000000.0,45000000.0,400000000.0,400000000.0
1401-05,مرداد 1401,1,100000000.0,100000000.0,70000000.0,70000000.0,1000000000.0,1000000000.0
1402-04,تیر 1402,1,13500000.0,13500000.0,,,450000000.0,450000000.0
1402-05,مرداد 1402,1,80000000.0,80000000.0,65000000.0,65000000.0,500000000.0,500000000.0
1402-06,شهریور 1402,3,31000000.0,37500000.0,22500000.0,22500000.0,533333333.3333333,250000000.0
1402-07,مهر 1402,7,54971428.571428575,24500000.0,45583333.333333336,15750000.0,530000000.0,150000000.0
1402-08,آبان 1402,10,45943000.0,45000000.0,24057142.85714286,20000000.0,970100000.0,550000000.0
1402-09,آذر 1402,11,79827272.72727273,65000000.0,29233333.333333332,25000000.0,2050000000.0,500000000.0
1402-10,دی 1402,30,51687703.69933333,33750000.0,39830811.961538464,16500000.0,591988505.7241379,350000000.0
1402-11,بهمن 1402,48,51757939.8125,24000000.0,30324074.07142857,16500000.0,877369565.2173913,300000000.0
1402-12,اسفند 1402,96,48936365.739583336,29000000.0,33958585.85714286,16000000.0,738680851.0638298,400000000.0
1403-01,فروردین 1403,903,44726847.08893687,24000000.0,29422619.15586207,12000000.0,709755829.9184358,350000000.0
1403-02,اردیبهشت 1403,30717,29440073.67145815,16000000.0,16887789.15972639,7000000.0,528202745.198383,300000000.0
1403-03,خرداد 1403,46208,24907896.24298195,14000000.0,13730289.853558788,6000000.0,455722791.2428503,250000000.0
1403-04,تیر 1403,50493,24921281.709211573,14000000.0,13818618.371289248,6000000.0,450259595.2238086,250000000.0
1403-05,مرداد 1403,51600,24951156.910416473,14400000.0,13737705.254100086,6000000.0,455019694.8087367,250000000.0
1403-06,شهریور 1403,46184,24781914.645495843,14000000.0,14258996.619631901,6000000.0,429664495.05614895,220000000.0
1403-07,مهر 1403,44892,26866878.731843535,14800000.0,15722758.714133134,7000000.0,461393193.1284673,250000000.0
1403-08,آبان 1403,38614,27650248.497021805,15000000.0,16301039.785576083,7000000.0,474655261.57401365,250000000.0
1403-09,آذر 1403,35113,28641393.887844387,15000000.0,17337491.466854382,7000000.0,485168151.5948204,250000000.0
1403-10,دی 1403,282,55119996.057907805,36000000.0,35965079.3622449,20500000.0,1004099684.7907802,600000000.0
1403-11,بهمن 1403,21,60129100.52380952,39000000.0,33900617.277777776,16000000.0,1087500000.0,750000000.0
