created_jalali_year_month,created_jalali_label,rent,sale
1398-11,بهمن 1398,0,1
1399-11,بهمن 1399,0,1
1400-02,اردیبهشت 1400,0,1
1400-03,خرداد 1400,0,1
1400-08,آبان 1400,0,1
1400-09,آذر 1400,1,1
1400-10,دی 1400,0,1
1400-11,بهمن 1400,0,1
1401-01,فروردین 1401,0,2
1401-02,اردیبهشت 1401,0,2
1401-03,خرداد 1401,3,1
1401-04,تیر 1401,1,1
1401-05,مرداد 1401,1,6
1401-06,شهریور 1401,0,1
1401-07,مهر 1401,0,4
1401-08,آبان 1401,0,5
1401-09,آذر 1401,0,6
1401-10,دی 1401,0,10
1401-11,بهمن 1401,0,9
1401-12,اسفند 1401,0,7
1402-01,فروردین 1402,0,9
1402-02,اردیبهشت 1402,0,37
1402-03,خرداد 1402,1,45
1402-04,تیر 1402,1,62
1402-05,مرداد 1402,4,72
1402-06,شهریور 1402,3,120
1402-07,مهر 1402,8,148
1402-08,آبان 1402,12,278
1402-09,آذر 1402,13,421
1402-10,دی 1402,34,765
1402-11,بهمن 1402,53,984
1402-12,اسفند 1402,103,1387
1403-01,فروردین 1403,952,5465
1403-02,اردیبهشت 1403,31633,71581
1403-03,خرداد 1403,47295,71584
1403-04,تیر 1403,51503,75079
1403-05,مرداد 1403,52599,73392
1403-06,شهریور 1403,47119,67652
1403-07,مهر 1403,45906,75146
1403-08,آبان 1403,39551,77085
1403-09,آذر 1403,36020,75250
1403-10,دی 1403,288,817
1403-11,بهمن 1403,21,124
1403-12,اسفند 1403,0,4
