city_slug,neighborhood_slug,area,total_ads,amenity_ads,amenity_ratio
isfahan,shahriyar-isfahan,isfahan / shahriyar-isfahan,307,241.0,0.7850162866449512
tehran,eivanak,tehran / eivanak,214,166.0,0.7757009345794392
karaj,kuy-mehr,karaj / kuy-mehr,404,307.0,0.7599009900990099
tehran,tehran-zanjan,tehran / tehran-zanjan,684,504.0,0.7368421052631579
tehran,dr-hoshyar,tehran / dr-hoshyar,1129,821.0,0.7271922054915855
karaj,shahrak-alborz,karaj / shahrak-alborz,170,123.0,0.7235294117647059
tehran,almahdi,tehran / almahdi,492,354.0,0.7195121951219512
karaj,kuy-emamiyeh,karaj / kuy-emamiyeh,274,195.0,0.7116788321167883
tehran,ostad-moein,tehran / ostad-moein,1496,1062.0,0.7098930481283422
tehran,shahrak-e-gharb,tehran / shahrak-e-gharb,1143,810.0,0.7086614173228346
karaj,shahrake-fahmideh,karaj / shahrake-fahmideh,151,107.0,0.7086092715231788
rasht,nikmaraam,rasht / nikmaraam,223,158.0,0.7085201793721974
tehran,daryan-no,tehran / daryan-no,436,307.0,0.7041284403669725
karaj,mehrshahr,karaj / mehrshahr,1441,1011.0,0.7015961138098543
tehran,jey,tehran / jey,808,563.0,0.6967821782178217
